outlook,temperature,humidity,wind,play
Sunny,Hot,High,Weak,No
Sunny,Hot,High,Strong,No
Overcast,Hot,High,Weak,Yes
Rain,Mild,High,Weak,Yes
Rain,Cool,Normal,Weak,Yes
Rain,Cool,Normal,Strong,No
Overcast,Cool,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Sunny,Cool,Normal,Weak,Yes
Rain,Mild,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Overcast,Mild,High,Strong,Yes
Overcast,Hot,Normal,Weak,Yes
Rain,Mild,High,Strong,No
Sunny,Hot,Normal,Weak,Yes
Rain,Hot,High,Strong,No
Overcast,Cool,High,Weak,Yes
Sunny,Cool,High,Strong,No
Rain,Cool,High,Weak,Yes
Overcast,Mild,Normal,Weak,Yes
